Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1, 32, 32, 5, 5, 1, 6, 1,
Conv2, 14, 14, 5, 5, 6, 16, 1, 
FC1, 5, 5, 1, 1, 16, 120, 1,
FC2, 120, 1, 1, 1, 120, 84, 1,
